===> Epoch 1 Complete: Avg. Loss: 0.0581
===> Processing image: 82 || Timer: 0.0964 sec. || PSNR: 26.5029 dB
===> Processing image: 83 || Timer: 0.0856 sec. || PSNR: 20.9995 dB
===> Processing image: 84 || Timer: 0.0860 sec. || PSNR: 28.7095 dB
===> Processing image: 85 || Timer: 0.0939 sec. || PSNR: 26.5921 dB
===> Processing image: 86 || Timer: 0.0814 sec. || PSNR: 32.9076 dB
===> Processing image: 87 || Timer: 0.0912 sec. || PSNR: 26.6885 dB
===> Processing image: 88 || Timer: 0.0885 sec. || PSNR: 22.4788 dB
===> Processing image: 89 || Timer: 0.0918 sec. || PSNR: 22.5247 dB
===> Processing image: 90 || Timer: 0.0974 sec. || PSNR: 23.1747 dB
===> Processing image: 91 || Timer: 0.0858 sec. || PSNR: 23.7491 dB
===> Processing image: 92 || Timer: 0.0878 sec. || PSNR: 20.2905 dB
===> Processing image: 93 || Timer: 0.0875 sec. || PSNR: 21.9661 dB
===> Processing image: 94 || Timer: 0.0943 sec. || PSNR: 22.3589 dB
===> Processing image: 95 || Timer: 0.0826 sec. || PSNR: 22.5159 dB
===> Processing image: 96 || Timer: 0.0853 sec. || PSNR: 21.5143 dB
===> Processing image: 97 || Timer: 0.0851 sec. || PSNR: 22.8209 dB
===> Processing image: 98 || Timer: 0.0951 sec. || PSNR: 20.3613 dB
===> Processing image: 99 || Timer: 0.0953 sec. || PSNR: 22.7439 dB
===> Processing image: 100 || Timer: 0.0963 sec. || PSNR: 22.6878 dB
===> Epoch 1 Complete: Avg. PSNR: 24.5916 Best Epoch 1 Best PSNR: 24.5916
===> Epoch 2 Complete: Avg. Loss: 0.0396
===> Processing image: 1 || Timer: 0.1034 sec. || PSNR: 23.3898 dB
===> Processing image: 2 || Timer: 0.0881 sec. || PSNR: 24.9064 dB
===> Processing image: 3 || Timer: 0.0944 sec. || PSNR: 30.5115 dB
===> Processing image: 4 || Timer: 0.0871 sec. || PSNR: 20.8073 dB
===> Processing image: 5 || Timer: 0.0910 sec. || PSNR: 22.9856 dB
===> Processing image: 6 || Timer: 0.0840 sec. || PSNR: 26.1706 dB
===> Processing image: 7 || Timer: 0.0873 sec. || PSNR: 24.7432 dB
===> Processing image: 8 || Timer: 0.0920 sec. || PSNR: 25.2484 dB
===> Processing image: 9 || Timer: 0.0918 sec. || PSNR: 24.9405 dB
===> Processing image: 10 || Timer: 0.0970 sec. || PSNR: 23.1571 dB
===> Processing image: 11 || Timer: 0.1000 sec. || PSNR: 22.0187 dB
===> Processing image: 12 || Timer: 0.0941 sec. || PSNR: 22.5057 dB
===> Processing image: 13 || Timer: 0.0893 sec. || PSNR: 23.9104 dB
===> Processing image: 14 || Timer: 0.0961 sec. || PSNR: 22.9508 dB
===> Processing image: 15 || Timer: 0.0935 sec. || PSNR: 19.0545 dB
===> Processing image: 16 || Timer: 0.0981 sec. || PSNR: 24.9403 dB
===> Processing image: 17 || Timer: 0.0958 sec. || PSNR: 23.1826 dB
===> Processing image: 18 || Timer: 0.1009 sec. || PSNR: 19.0011 dB
===> Processing image: 19 || Timer: 0.0954 sec. || PSNR: 22.1917 dB
===> Processing image: 20 || Timer: 0.0926 sec. || PSNR: 25.8096 dB
===> Processing image: 21 || Timer: 0.0889 sec. || PSNR: 26.6218 dB
===> Processing image: 22 || Timer: 0.0951 sec. || PSNR: 27.6791 dB
===> Processing image: 23 || Timer: 0.0853 sec. || PSNR: 28.4056 dB
===> Processing image: 24 || Timer: 0.0956 sec. || PSNR: 24.5091 dB
===> Processing image: 25 || Timer: 0.0912 sec. || PSNR: 22.5485 dB
===> Processing image: 26 || Timer: 0.0910 sec. || PSNR: 29.6729 dB
===> Processing image: 27 || Timer: 0.0892 sec. || PSNR: 22.8607 dB
===> Processing image: 28 || Timer: 0.0875 sec. || PSNR: 30.6745 dB
===> Processing image: 29 || Timer: 0.0980 sec. || PSNR: 29.9720 dB
===> Processing image: 30 || Timer: 0.0969 sec. || PSNR: 21.7875 dB
===> Processing image: 31 || Timer: 0.0971 sec. || PSNR: 20.9413 dB
===> Processing image: 32 || Timer: 0.0907 sec. || PSNR: 20.6544 dB
===> Processing image: 33 || Timer: 0.0985 sec. || PSNR: 20.0171 dB
===> Processing image: 34 || Timer: 0.0988 sec. || PSNR: 20.4735 dB
===> Processing image: 35 || Timer: 0.0830 sec. || PSNR: 21.1686 dB
===> Processing image: 36 || Timer: 0.0886 sec. || PSNR: 22.4867 dB
===> Processing image: 37 || Timer: 0.0867 sec. || PSNR: 21.0217 dB
===> Processing image: 38 || Timer: 0.0873 sec. || PSNR: 23.7805 dB
===> Processing image: 39 || Timer: 0.0825 sec. || PSNR: 21.3863 dB
===> Processing image: 40 || Timer: 0.0846 sec. || PSNR: 29.1023 dB
===> Processing image: 41 || Timer: 0.0845 sec. || PSNR: 23.6432 dB
===> Processing image: 42 || Timer: 0.0819 sec. || PSNR: 21.5808 dB
===> Processing image: 43 || Timer: 0.0808 sec. || PSNR: 23.4429 dB
===> Processing image: 44 || Timer: 0.0819 sec. || PSNR: 26.6216 dB
===> Processing image: 45 || Timer: 0.0863 sec. || PSNR: 26.1439 dB
===> Processing image: 46 || Timer: 0.0880 sec. || PSNR: 29.7597 dB
===> Processing image: 47 || Timer: 0.0826 sec. || PSNR: 29.0195 dB
===> Processing image: 48 || Timer: 0.0803 sec. || PSNR: 26.2113 dB
===> Processing image: 49 || Timer: 0.1006 sec. || PSNR: 26.0698 dB
===> Processing image: 50 || Timer: 0.0909 sec. || PSNR: 27.7038 dB
===> Processing image: 51 || Timer: 0.0806 sec. || PSNR: 31.5727 dB
===> Processing image: 52 || Timer: 0.0853 sec. || PSNR: 27.2851 dB
===> Processing image: 53 || Timer: 0.0814 sec. || PSNR: 27.9544 dB
===> Processing image: 54 || Timer: 0.0887 sec. || PSNR: 26.4025 dB
===> Processing image: 55 || Timer: 0.0884 sec. || PSNR: 29.2504 dB
===> Processing image: 56 || Timer: 0.0939 sec. || PSNR: 27.8463 dB
===> Processing image: 57 || Timer: 0.0975 sec. || PSNR: 28.6290 dB
===> Processing image: 58 || Timer: 0.0893 sec. || PSNR: 29.2083 dB
===> Processing image: 59 || Timer: 0.0891 sec. || PSNR: 28.7399 dB
===> Processing image: 60 || Timer: 0.0898 sec. || PSNR: 28.4781 dB
===> Processing image: 61 || Timer: 0.0933 sec. || PSNR: 22.6348 dB
===> Processing image: 62 || Timer: 0.0885 sec. || PSNR: 30.7752 dB
===> Processing image: 63 || Timer: 0.0890 sec. || PSNR: 28.9185 dB
===> Processing image: 64 || Timer: 0.0912 sec. || PSNR: 23.4344 dB
===> Processing image: 65 || Timer: 0.0865 sec. || PSNR: 26.5790 dB
===> Processing image: 66 || Timer: 0.0922 sec. || PSNR: 28.4034 dB
===> Processing image: 67 || Timer: 0.0881 sec. || PSNR: 28.3257 dB
===> Processing image: 68 || Timer: 0.0905 sec. || PSNR: 28.2721 dB
===> Processing image: 69 || Timer: 0.0938 sec. || PSNR: 29.4634 dB
